"Código","Unidade Territorial","UF","Referência","Famílias PBF (até Out/2021)","Famílias PBF (a partir de Mar/2023)","Valor repassado às famílias PBF (até Out/2021)","Valor repassado às famílias PBF (a partir de Mar/2023)","Valor do Benefício médio (até Out/2021)","Valor do Benefício médio (a partir de Mar/2023)"
"430105","ARROIO DO SAL","RS","2014","248","","425338","","1715,07",""
"430105","ARROIO DO SAL","RS","2018","319","","794133","","2489,45",""
"430105","ARROIO DO SAL","RS","2017","341","","657790","","1929,00",""
"430105","ARROIO DO SAL","RS","2008","156","","133428,00","","855,31",""
"430105","ARROIO DO SAL","RS","2020","357","","255842,00","","716,64",""
"430105","ARROIO DO SAL","RS","2007","166","","109406","","659,07",""
"430105","ARROIO DO SAL","RS","2011","271","","324252,00","","1196,50",""
"430105","ARROIO DO SAL","RS","2016","302","","627828,00","","2078,90",""
"430105","ARROIO DO SAL","RS","2019","276","","759780,00","","2752,83",""
"430105","ARROIO DO SAL","RS","2009","237","","180529,00","","761,73",""
"430105","ARROIO DO SAL","RS","2010","280","","249053,00","","889,48",""
"430105","ARROIO DO SAL","RS","2021","352","","505038","","1434,77",""
"430105","ARROIO DO SAL","RS","2012","262","","358398","","1367,93",""
"430107","ARROIO DO PADRE","RS","2020","39","","17398,00","","446,10",""
"430107","ARROIO DO PADRE","RS","2018","40","","65951","","1648,78",""
"430107","ARROIO DO PADRE","RS","2019","36","","61661,00","","1712,81",""
"430107","ARROIO DO PADRE","RS","2013","85","","182032","","2141,55",""
"430107","ARROIO DO PADRE","RS","2012","116","","161266","","1390,22",""
"430107","ARROIO DO PADRE","RS","2017","45","","96043","","2134,29",""
"430107","ARROIO DO PADRE","RS","2016","68","","126760,00","","1864,12",""
"430107","ARROIO DO PADRE","RS","2015","78","","138510","","1775,77",""
"430107","ARROIO DO PADRE","RS","2014","82","","149084","","1818,10",""
"430107","ARROIO DO PADRE","RS","2007","73","","56260","","770,68",""
"430107","ARROIO DO PADRE","RS","2010","105","","114400,00","","1089,52",""
"430107","ARROIO DO PADRE","RS","2008","91","","80230,00","","881,65",""
"430107","ARROIO DO PADRE","RS","2011","104","","130297,00","","1252,86",""
"430107","ARROIO DO PADRE","RS","2009","97","","99489,00","","1025,66",""
"430107","ARROIO DO PADRE","RS","2021","43","","32371","","752,81",""
"430110","ARROIO DOS RATOS","RS","2021","908","","936061","","1030,90",""
"430110","ARROIO DOS RATOS","RS","2009","1000","","854574,00","","854,57",""
"430110","ARROIO DOS RATOS","RS","2011","950","","1213019,00","","1276,86",""
"430110","ARROIO DOS RATOS","RS","2013","974","","1702386","","1747,83",""
"430110","ARROIO DOS RATOS","RS","2008","719","","662738,00","","921,75",""
"430110","ARROIO DOS RATOS","RS","2019","883","","1858164,00","","2104,38",""
"430110","ARROIO DOS RATOS","RS","2018","962","","1726525","","1794,72",""
"430110","ARROIO DOS RATOS","RS","2017","919","","1501517","","1633,86",""
"430110","ARROIO DOS RATOS","RS","2016","870","","1567077,00","","1801,24",""
"430110","ARROIO DOS RATOS","RS","2015","936","","1606096","","1715,91",""
"430110","ARROIO DOS RATOS","RS","2014","945","","1722485","","1822,74",""
"430110","ARROIO DOS RATOS","RS","2020","923","","582137,00","","630,70",""
"430110","ARROIO DOS RATOS","RS","2010","970","","1039359,00","","1071,50",""
"430110","ARROIO DOS RATOS","RS","2007","846","","576625","","681,59",""
"430110","ARROIO DOS RATOS","RS","2012","996","","1493718","","1499,72",""
"430120","ARROIO DO TIGRE","RS","2008","477","","432942,00","","907,64",""
"430120","ARROIO DO TIGRE","RS","2007","536","","396823","","740,34",""
"430120","ARROIO DO TIGRE","RS","2010","582","","661412,00","","1136,45",""
"430120","ARROIO DO TIGRE","RS","2012","736","","1168818","","1588,07",""
"430120","ARROIO DO TIGRE","RS","2011","528","","632646,00","","1198,19",""
"430120","ARROIO DO TIGRE","RS","2020","418","","255778,00","","611,91",""
"430120","ARROIO DO TIGRE","RS","2021","452","","506622","","1120,85",""
"430120","ARROIO DO TIGRE","RS","2016","593","","1232979,00","","2079,22",""
